hdi_rank,Country,educ_index_2000,educ_index_2013,Country Code 2000,pov_2000,pov_2013,GDP_Country_Name,Country_Code2,gdp_2000,gdp_2013,Country_Name2,Region_2013,povhc_pct_y2,numpoor_y2,pop_y2,survey_coverage_y2,Region_2000,povhc_pct_y1,numpoor_y1,pop_y1,survey_coverage_y1,name,Country Name,Country Code,elec2000,elec2013
152,Nigeria,0,42.49,NGA,,,Nigeria,NGA,69449,509000,Nigeria,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Nigeria,Nigeria,NGA,42.85608673,55.6
155,Madagascar,39.82,45.84,MDG,,,Madagascar,MDG,4629,12424,Madagascar,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Madagascar,Madagascar,MDG,13.58636379,12.9
156,Zimbabwe,47.13,49.99,ZWE,,,Zimbabwe,ZWE,6690,19091,Zimbabwe,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Zimbabwe,Zimbabwe,ZWE,33.88433075,38.33882523
157,Papua New Guinea,28.48,37.63,PNG,,,Papua New Guinea,PNG,3521,21261,Papua New Guinea,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Papua New Guinea,Papua New Guinea,PNG,8.658045769,35.77438354
157,Solomon Islands,33.33,40.55,SLB,,,Solomon Islands,SLB,429,1285,Solomon Islands,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Solomon Islands,Solomon Islands,SLB,4.670693398,44.7
159,Comoros,0,45.04,COM,,,Comoros,COM,350,1116,Comoros,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Comoros,Comoros,COM,,69.50240326
161,Mauritania,28.01,35.23,MRT,76,,Mauritania,MRT,1780,7223,Mauritania,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Mauritania,Mauritania,MRT,,37.49877167
162,Lesotho,44.95,50.42,LSO,,,Lesotho,LSO,887,2421,Lesotho,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Lesotho,Lesotho,LSO,4.258760108,26.61523056
163,Senegal,26.63,36.78,SEN,,,Senegal,SEN,5924,18966,Senegal,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Senegal,Senegal,SEN,37.74,57
164,Uganda,42.59,47.86,UGA,,,Uganda,UGA,6193,28792,Uganda,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Uganda,Uganda,UGA,7.738433361,13.9
165,Benin,26.87,41.36,BEN,,,Benin,BEN,3511,12518,Benin,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Benin,Benin,BEN,21.39941978,35.62862778
166,Sudan,20.6,30.6,SDN,,,Sudan,SDN,12257,57730,Sudan,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Sudan,Sudan,SDN,23,43.29947281
166,Togo,40.69,51.44,TGO,,,Togo,TGO,1488,4322,Togo,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Togo,Togo,TGO,16.95623488,40.98518372
169,Afghanistan,22.55,36.53,AFG,,,Afghanistan,AFG,,20561,Afghanistan,South Asia,84.69,1444.64,1705.77,98.11,South Asia,,,,20.82,Afghanistan,Afghanistan,AFG,,68.93326569
170,Djibouti,0,30.59,DJI,,74.5,Djibouti,DJI,551,2043,Djibouti,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Djibouti,Djibouti,DJI,56.39942932,56.12973404
173,Ethiopia,16.86,31.65,ETH,,,Ethiopia,ETH,8242,47648,Ethiopia,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Ethiopia,Ethiopia,ETH,12.7,36.04441452
174,Malawi,38.76,43.97,MWI,,,Malawi,MWI,1744,5519,Malawi,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Malawi,Malawi,MWI,4.8,9
175,Liberia,34.4,36.72,LBR,,,Liberia,LBR,874,3067,Liberia,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Liberia,Liberia,LBR,,9.8
176,Mali,17.66,30.52,MLI,,,Mali,MLI,2954,13243,Mali,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Mali,Mali,MLI,9.379322052,33.68215942
